sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	housing_cage	cohort	file_paths	uuid
5F-F	2285	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	11	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5F-F/CALTEC-001-5F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5F-F/CALTEC-001-5F-F_R2.fastq.gz;	69d5e82f-530b-4de1-b71c-d97e4fee1b23
6F-F	2284	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	11	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6F-F/CALTEC-001-6F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6F-F/CALTEC-001-6F-F_R2.fastq.gz;	8026eead-3968-4929-8ac4-126ead00a55d
7F-F	2312	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	12	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7F-F/CALTEC-001-7F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7F-F/CALTEC-001-7F-F_R2.fastq.gz;	5a6ae85c-b6fe-4bed-9d79-2fc3d722416f
8F-F	2313	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	13	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8F-F/CALTEC-001-8F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8F-F/CALTEC-001-8F-F_R2.fastq.gz;	667fd635-ee7a-4d22-a128-8d7567559348
1W-B	2328	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	15	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-B/CALTEC-001-1W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-B/CALTEC-001-1W-B_R2.fastq.gz;	3a95fb07-9cd4-4410-ab14-6e08cbe8fb4d
2W-B	2330	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	15	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-B/CALTEC-001-2W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-B/CALTEC-001-2W-B_R2.fastq.gz;	64cfc38a-c2fe-4a3c-a92b-4d5eec3c9bec
3W-B	2332	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	16	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-B/CALTEC-001-3W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-B/CALTEC-001-3W-B_R2.fastq.gz;	7eac574e-7a22-47fe-9e95-027a9469978d
4W-B	2337	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	16	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-B/CALTEC-001-4W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-B/CALTEC-001-4W-B_R2.fastq.gz;	5155defe-cf3b-434d-a79b-f97cbd8b7bb3
5W-B	2338	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	16	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-B/CALTEC-001-5W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-B/CALTEC-001-5W-B_R2.fastq.gz;	a55db179-101c-459f-8fbf-a4d0de76765b
6W-B	2348	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	17	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-B/CALTEC-001-6W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-B/CALTEC-001-6W-B_R2.fastq.gz;	888698af-80c8-466d-9e54-b0e61d24495a
7W-B	2349	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	17	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-B/CALTEC-001-7W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-B/CALTEC-001-7W-B_R2.fastq.gz;	40fcafa2-7823-4086-902c-76edd44c8ad7
8W-B	NA	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-2	Vehicle	NA	NA	NA	NA	NA	NA	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-B/CALTEC-001-8W-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-B/CALTEC-001-8W-B_R2.fastq.gz;	e76d515a-fbc3-4b37-b542-c6fe625bd623
1C-B	2350	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	bCL-1	Vehicle	NA	NA	NA	NA	NA	18	bCL	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-B/CALTEC-001-1C-B_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-B/CALTEC-001-1C-B_R2.fastq.gz;	f498cd34-8ff0-4a82-b15d-8688abc9435d
