SAMPLE ID	CAGE	GENOTYPE	AGE	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)	file_paths	uuid
CALTEC-001-WT3_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_12mo/CALTEC-001-WT3_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_12mo/CALTEC-001-WT3_12mo_R2.fastq.gz;	2fa6cf49-488d-4356-912d-58d510a38188
CALTEC-001-WT4_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_12mo/CALTEC-001-WT4_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_12mo/CALTEC-001-WT4_12mo_R2.fastq.gz;	ca6534b2-55a2-4e08-95ca-9200c779620b
CALTEC-001-WT5_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_12mo/CALTEC-001-WT5_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_12mo/CALTEC-001-WT5_12mo_R2.fastq.gz;	97ab02ba-7a20-4139-9720-b8826629e628
CALTEC-001-WT6_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_12mo/CALTEC-001-WT6_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_12mo/CALTEC-001-WT6_12mo_R2.fastq.gz;	33e2b1e7-5622-479b-a56f-58f1d6142ba3
CALTEC-001-WT7_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_12mo/CALTEC-001-WT7_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_12mo/CALTEC-001-WT7_12mo_R2.fastq.gz;	f74303df-be26-4694-b8e7-d4621f1f5c42
CALTEC-001-WT8_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_12mo/CALTEC-001-WT8_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_12mo/CALTEC-001-WT8_12mo_R2.fastq.gz;	22a67c4d-0805-4ad4-a37a-f2ad2213d5a7
CALTEC-001-WT9_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_12mo/CALTEC-001-WT9_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_12mo/CALTEC-001-WT9_12mo_R2.fastq.gz;	6844936c-b191-45d8-8efd-8cf47679383e
CALTEC-001-WT10_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_12mo/CALTEC-001-WT10_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_12mo/CALTEC-001-WT10_12mo_R2.fastq.gz;	eb39cf33-2927-4d47-8642-a0b1f852c82c
CALTEC-001-ASO1_2mo	7	ASO	2 months	5.91	0.97	10.18	1	26.5	75.07653	2	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_2mo/CALTEC-001-ASO1_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_2mo/CALTEC-001-ASO1_2mo_R2.fastq.gz;	79d89ceb-3130-4a4b-9165-99e2f8c8fa56
CALTEC-001-ASO2_2mo	7	ASO	2 months	13.65	1.94	5.57	0	25.5	48.93847	8	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_2mo/CALTEC-001-ASO2_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_2mo/CALTEC-001-ASO2_2mo_R2.fastq.gz;	d7996463-fcfd-4b5c-91c4-721b5be4ff41
