SAMPLE.ID	CAGE	GENOTYPE	AGE	Time.to.cross.challenge.beam...s.	Adhesive.removal..s.	Time.to.descend.Pole..s.	Errors.on.bean.crossing..n.	Weight..g.	Gastric.Emptying.time..s.	Bead.Expulsion.time..s.	Fecal.Output..n.	file_paths	uuid
CALTEC-001-WT4_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_12mo/CALTEC-001-WT4_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_12mo/CALTEC-001-WT4_12mo_R2.fastq.gz;	b891da0b-5db8-4496-9b6d-9638fc1c77fc
CALTEC-001-WT5_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_12mo/CALTEC-001-WT5_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_12mo/CALTEC-001-WT5_12mo_R2.fastq.gz;	89afcb01-ff91-4c18-844e-f818931928fd
CALTEC-001-WT6_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_12mo/CALTEC-001-WT6_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_12mo/CALTEC-001-WT6_12mo_R2.fastq.gz;	668194d8-eb98-49e3-8326-2e68aaf85319
CALTEC-001-WT7_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_12mo/CALTEC-001-WT7_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_12mo/CALTEC-001-WT7_12mo_R2.fastq.gz;	b1535015-e484-497a-bf0f-18a3d7de1219
CALTEC-001-WT8_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_12mo/CALTEC-001-WT8_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_12mo/CALTEC-001-WT8_12mo_R2.fastq.gz;	02e99504-59c5-4cfc-8818-8848eaf5a12c
CALTEC-001-WT9_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_12mo/CALTEC-001-WT9_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_12mo/CALTEC-001-WT9_12mo_R2.fastq.gz;	b3e7c602-6494-47dd-889a-245ee9a060ba
CALTEC-001-WT10_12mo	6	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_12mo/CALTEC-001-WT10_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_12mo/CALTEC-001-WT10_12mo_R2.fastq.gz;	e9266d74-223b-4c00-b58e-eaca1a5c5fe3
CALTEC-001-ASO1_2mo	7	ASO	2 months	5.91	0.97	10.18	1	26.5	75.07653	2	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_2mo/CALTEC-001-ASO1_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_2mo/CALTEC-001-ASO1_2mo_R2.fastq.gz;	935fd179-7b7b-4fcd-bba2-613691503ddb
CALTEC-001-ASO2_2mo	7	ASO	2 months	13.65	1.94	5.57	0	25.5	48.93847	8	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_2mo/CALTEC-001-ASO2_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_2mo/CALTEC-001-ASO2_2mo_R2.fastq.gz;	bdcf884b-306d-402c-925a-7950022812b2
CALTEC-001-ASO3_2mo	7	ASO	2 months	11.62	1.24	16.94	1	28	71.34831	2	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_2mo/CALTEC-001-ASO3_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_2mo/CALTEC-001-ASO3_2mo_R2.fastq.gz;	79e6d793-f238-46d6-a882-f7bb0cdd80c9
