study_name	BioProject	sample_id	NCBI_accession	uuid
MaoL_2021	PRJNA588035	SAMN13221631	SRR10403556	2c064c28-8278-4954-90c0-7ab950e6c98e
MaoL_2021	PRJNA588035	SAMN13221632	SRR10403554	6c006925-b07c-4a80-9f69-bd357cb9d0b9
MaoL_2021	PRJNA588035	SAMN13221633	SRR10403553	47e69ae5-c46f-477c-af07-83d0e8a2128a
MaoL_2021	PRJNA588035	SAMN13221634	SRR10403552	157a3c7c-eea6-4c56-a557-c031b38a9ab0
MaoL_2021	PRJNA588035	SAMN13221635	SRR10403551	3fe510d7-5361-4739-9b53-d49555b03023
MaoL_2021	PRJNA588035	SAMN13221636	SRR10403550	621b11fa-cf88-4652-b094-fbb82d28452c
MaoL_2021	PRJNA588035	SAMN13221637	SRR10403549	8fa4aa89-2324-435c-9f26-2e5ca93f2b3d
MaoL_2021	PRJNA588035	SAMN13221638	SRR10403548	e867c7d1-2069-4d8d-9749-c00e7da3cdac
MaoL_2021	PRJNA588035	SAMN13221639	SRR10403547	41811ad3-9319-4d97-b058-2d3ca8fd440a
MaoL_2021	PRJNA588035	SAMN13221640	SRR10403546	512e7bbb-1fc8-42fe-9854-cee8b12dd879
MaoL_2021	PRJNA588035	SAMN13221641	SRR10403545	7a332854-be0f-472a-adac-a63be92ec19c
MaoL_2021	PRJNA588035	SAMN13221642	SRR10403515	2327a6a5-7f9a-4ad7-80f5-e094d6336c52
MaoL_2021	PRJNA588035	SAMN13221643	SRR10403514	ad5390e3-543d-432d-8d48-9a4fe173fda0
MaoL_2021	PRJNA588035	SAMN13221644	SRR10403513	b7a89beb-b0f6-4efe-b623-1969024fbf28
MaoL_2021	PRJNA588035	SAMN13221645	SRR10403512	3ce52f04-e425-4ada-a16a-1a94cc66040c
MaoL_2021	PRJNA588035	SAMN13221646	SRR10403511	39898945-3f80-4007-8c01-c6d7f303775b
MaoL_2021	PRJNA588035	SAMN13221647	SRR10403510	2f377c2d-2861-4f16-a37f-d4bd2724c662
MaoL_2021	PRJNA588035	SAMN13221648	SRR10403509	cc870cf0-59b6-4c33-962a-5863015a3bd4
MaoL_2021	PRJNA588035	SAMN13221649	SRR10403508	8f619a49-ba44-447b-9e92-810db294c3d1
MaoL_2021	PRJNA588035	SAMN13221650	SRR10403507	26124d9d-cf00-4a2c-8cad-6d465450f2f9
MaoL_2021	PRJNA588035	SAMN13221651	SRR10403506	78333d87-4c4e-47c9-bd5d-a5e306355062
MaoL_2021	PRJNA588035	SAMN13221652	SRR10403504	dca2840b-dc56-4959-95ba-de1c04333f19
MaoL_2021	PRJNA588035	SAMN13221653	SRR10403503	e39b680e-5465-4727-93d8-4752c5581c58
MaoL_2021	PRJNA588035	SAMN13221654	SRR10403502	115ef6df-10e7-4b46-9065-4ff5f359af3c
MaoL_2021	PRJNA588035	SAMN13221655	SRR10403501	da32f877-1bdb-4cf2-b073-f6bb311d45ab
MaoL_2021	PRJNA588035	SAMN13221656	SRR10403500	5ab812de-a1e9-4155-9b50-e6f5c244553f
MaoL_2021	PRJNA588035	SAMN13221657	SRR10403499	555588ed-afb5-4176-a3a5-0587080a36bc
MaoL_2021	PRJNA588035	SAMN13221658	SRR10403498	6f6f389e-9b6f-442d-98e3-9f06248175e4
MaoL_2021	PRJNA588035	SAMN13221659	SRR10403497	66ef3f5a-2502-465a-a1eb-e5b9437d2e86
