study_name	BioProject	sample_id	NCBI_accession	uuid
BedarfJR_2017	PRJEB17784	SAMEA103958157	ERR1913063;ERR1913255	ec77a7bd-e4ea-4856-9532-b596077729fd
BedarfJR_2017	PRJEB17784	SAMEA103958158	ERR1913036;ERR1913228	72759200-2dbc-47ab-8376-7ddcc173a8a7
BedarfJR_2017	PRJEB17784	SAMEA103958159	ERR1912957;ERR1913149	0a81cd70-3133-47ae-bb0d-d3531711a3fe
BedarfJR_2017	PRJEB17784	SAMEA103958160	ERR1913115;ERR1913307	6b8c7c32-3abe-4855-8e8d-46ac3843e52b
BedarfJR_2017	PRJEB17784	SAMEA103958161	ERR1912971;ERR1913163	e46ced82-921e-4542-b74c-7b7bbdd64578
BedarfJR_2017	PRJEB17784	SAMEA103958162	ERR1912989;ERR1913181	a0d85846-e6f5-4eaf-bd54-b6ea5f1160c3
BedarfJR_2017	PRJEB17784	SAMEA103958163	ERR1912949;ERR1912950;ERR1912951;ERR1912952;ERR1913141;ERR1913142;ERR1913143;ERR1913144	1fd6d2f7-9484-48dc-ac1e-ded52ce678f2
BedarfJR_2017	PRJEB17784	SAMEA103958164	ERR1913119;ERR1913120;ERR1913121;ERR1913311;ERR1913312;ERR1913313	bf19dbc5-3fdb-4ea6-857d-b5b0659666a9
BedarfJR_2017	PRJEB17784	SAMEA103958165	ERR1913073;ERR1913074;ERR1913075;ERR1913265;ERR1913266;ERR1913267	12d23fc6-bf86-4ee9-9d0d-7fce72a85b6b
BedarfJR_2017	PRJEB17784	SAMEA103958166	ERR1913127;ERR1913319	f87453b3-3ba3-4118-91e9-916022cf8918
BedarfJR_2017	PRJEB17784	SAMEA103958167	ERR1912997;ERR1913189	87eea4bc-3b4b-4ab6-989a-6618f5098d09
