study_name	BioProject	sample_id	NCBI_accession	uuid
BoktorJC.2_2023	PRJEB53401	SAMEA110061173	ERR9830142	600839aa-ba1e-464b-b67f-ab70921bba5d
BoktorJC.2_2023	PRJEB53401	SAMEA110061174	ERR9830143	157b0df5-6f9a-4b12-9a95-bae5c667031d
BoktorJC.2_2023	PRJEB53401	SAMEA110061175	ERR9830144	de44e95e-12c7-412b-b002-34982ca6bb90
BoktorJC.2_2023	PRJEB53401	SAMEA110061176	ERR9830145	ab815783-200c-4cb7-82b0-42429eb74206
BoktorJC.2_2023	PRJEB53401	SAMEA110061177	ERR9830146	89fdcaca-a94e-4893-86d8-c2560ac9f521
BoktorJC.2_2023	PRJEB53401	SAMEA110061178	ERR9830147	8b5fcd75-e3b6-4eb0-b8a8-2d80f87bb435
BoktorJC.2_2023	PRJEB53401	SAMEA110061179	ERR9830148	1d799b65-adc7-47c7-bd82-21c47863a60f
BoktorJC.2_2023	PRJEB53401	SAMEA110061180	ERR9830149	9b6a9e5e-d300-4f5e-a62d-e007ed9d4864
BoktorJC.2_2023	PRJEB53401	SAMEA110061181	ERR9830150	844ae3f7-1f19-4a05-a0f6-fd32b89f519b
BoktorJC.2_2023	PRJEB53401	SAMEA110061182	ERR9830151	83993e3e-49f5-4e0d-bc67-aa1455acd7b3
BoktorJC.2_2023	PRJEB53401	SAMEA110061183	ERR9830152	f9d1266d-2123-466f-af6f-f90a29452452
BoktorJC.2_2023	PRJEB53401	SAMEA110061184	ERR9830153	e1018a03-227f-4bfe-8d74-79babc89854b
BoktorJC.2_2023	PRJEB53401	SAMEA110061185	ERR9830154	e237737e-9ebb-4738-9da3-fd4a51128bf0
BoktorJC.2_2023	PRJEB53401	SAMEA110061186	ERR9830155	f8eb972c-d772-4581-afaa-9d0b32d10f9b
BoktorJC.2_2023	PRJEB53401	SAMEA110061187	ERR9830156	b67d874e-eec5-4a0a-a973-37086960a7c3
BoktorJC.2_2023	PRJEB53401	SAMEA110061188	ERR9830157	62debaf7-f71f-45ff-b154-90bdb21e48a9
BoktorJC.2_2023	PRJEB53401	SAMEA110061189	ERR9830158	f96e8995-c680-4c69-a88d-6423714e7f20
BoktorJC.2_2023	PRJEB53401	SAMEA110061190	ERR9830159	1fb3e4eb-d3f8-4086-b08b-08862a51e88a
BoktorJC.2_2023	PRJEB53401	SAMEA110061191	ERR9830160	146aec6f-e96e-49ca-a7a2-775d1f0b5f17
BoktorJC.2_2023	PRJEB53401	SAMEA110061192	ERR9830161	079a6de2-3926-4094-8d31-4d810c93353e
BoktorJC.2_2023	PRJEB53401	SAMEA110061193	ERR9830162	7b7ab8f6-57c4-4888-bd4d-94fb384389fd
BoktorJC.2_2023	PRJEB53401	SAMEA110061194	ERR9830163	b83d322e-22eb-4b71-9582-c328ed07bf5c
BoktorJC.2_2023	PRJEB53401	SAMEA110061195	ERR9830164	554bddda-b6de-426b-89bb-ec175fc93d0a
BoktorJC.2_2023	PRJEB53401	SAMEA110061196	ERR9830165	8c4d2703-ba97-4c06-a905-edf8d0bac843
BoktorJC.2_2023	PRJEB53401	SAMEA110061197	ERR9830166	a2f3fc74-fa37-47f5-97a3-a39e6c46d3f4
BoktorJC.2_2023	PRJEB53401	SAMEA110061198	ERR9830167	a2599603-b388-48e3-a32f-337e3f2ed7a0
BoktorJC.2_2023	PRJEB53401	SAMEA110061199	ERR9830168	4c4bec77-0665-418b-81db-a124809a2acf
BoktorJC.2_2023	PRJEB53401	SAMEA110061200	ERR9830169	7cd58a90-4722-4ce0-8250-9387e7474450
BoktorJC.2_2023	PRJEB53401	SAMEA110061201	ERR9830170	b5ff6e73-4101-49c8-8eb8-4f9016fb2780
BoktorJC.2_2023	PRJEB53401	SAMEA110061202	ERR9830171	32b6366f-6c04-4cc0-8aac-791dcf0b979b
BoktorJC.2_2023	PRJEB53401	SAMEA110061203	ERR9830172	f4b92351-25ba-4fcf-bb37-9ca2a5893aac
BoktorJC.2_2023	PRJEB53401	SAMEA110061204	ERR9830173	f6f7a4a3-28d6-4847-b37b-a56d6e2df634
BoktorJC.2_2023	PRJEB53401	SAMEA110061205	ERR9830174	450174e7-9da6-43f7-9116-8c8d56f638f9
BoktorJC.2_2023	PRJEB53401	SAMEA110061206	ERR9830175	b6ac09c4-828e-4b7a-b3df-cc5180d0b092
BoktorJC.2_2023	PRJEB53401	SAMEA110061207	ERR9830176	32c86d45-2a56-4c9d-8af6-2d50689b50bc
BoktorJC.2_2023	PRJEB53401	SAMEA110061208	ERR9830177	28d4ff1d-7740-40b8-bb97-bdef9b30b3a5
BoktorJC.2_2023	PRJEB53401	SAMEA110061209	ERR9830178	f4b7b637-316e-4a5b-9839-bc542810f81a
