study_name	BioProject	sample_id	NCBI_accession	uuid
NishiwakiH_2024	PRJDB15956	SAMD00618101	DRR480348	ee827fcd-7b82-4255-b240-d01c49c88fc1
NishiwakiH_2024	PRJDB15956	SAMD00618102	DRR480349	86f1e372-0496-4865-8ca3-de5ce3d0756e
NishiwakiH_2024	PRJDB15956	SAMD00618103	DRR480350	2f384e2b-aec6-41c0-a22d-4cabc7bac486
NishiwakiH_2024	PRJDB15956	SAMD00618104	DRR480351	75999d59-4364-4e46-b291-c4aebf5aa5bf
NishiwakiH_2024	PRJDB15956	SAMD00618105	DRR480352	b48998de-a31c-420e-a8c6-1d01e3b690c9
NishiwakiH_2024	PRJDB15956	SAMD00618106	DRR480353	76dc99a3-eaac-47cc-a82f-7661ed6c72a9
NishiwakiH_2024	PRJDB15956	SAMD00618107	DRR480354	029a7bbb-a075-42ef-a6e9-7da11297bc69
NishiwakiH_2024	PRJDB15956	SAMD00618108	DRR480355	3f264a12-d3ca-4f2d-8d42-1fb7af5b2530
NishiwakiH_2024	PRJDB15956	SAMD00618109	DRR480356	ab439eaa-3f16-4855-ab58-645e27d425db
NishiwakiH_2024	PRJDB15956	SAMD00618110	DRR480357	d9beedec-4beb-449f-bb1f-4e7bed500dcc
NishiwakiH_2024	PRJDB15956	SAMD00618111	DRR480358	b4e44c9c-3b09-4dae-a92f-f1213485da6d
NishiwakiH_2024	PRJDB15956	SAMD00618112	DRR480359	cc2d8135-2bf9-4cd4-91a8-b460436cff17
NishiwakiH_2024	PRJDB15956	SAMD00618113	DRR480360	8d6d07c1-382b-47c8-adc4-d9a587d36dd0
NishiwakiH_2024	PRJDB15956	SAMD00618114	DRR480361	88047670-8c46-43f9-be24-492a1229d3f4
NishiwakiH_2024	PRJDB15956	SAMD00618115	DRR480362	9af46bf8-49f1-400b-b5d1-90d0b598f66c
NishiwakiH_2024	PRJDB15956	SAMD00618116	DRR480363	0ca510cb-e126-4c7b-818f-c925859fbdef
