tube_id	genotype	microbiome	sex	ear_punch	date_of_birth	cage	cohort	file_paths	uuid
HC P1 M4	PINK1 KO	HCOM2	M	N	5/8/24	16	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M4/CALTEC-001-HC_P1_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M4/CALTEC-001-HC_P1_M4_R2.fastq.gz;	f1763d10-1a95-4d01-9567-9d67f34d45f6
HC P1 M5	PINK1 KO	HCOM2	M	L	5/8/24	16	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M5/CALTEC-001-HC_P1_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M5/CALTEC-001-HC_P1_M5_R2.fastq.gz;	c623dec8-2c81-445a-811e-d1b70d44e2a3
HC P1 M6	PINK1 KO	HCOM2	M	RL	5/8/24	16	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M6/CALTEC-001-HC_P1_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M6/CALTEC-001-HC_P1_M6_R2.fastq.gz;	8ccd7659-5d09-4bc5-b44c-769a2c29b741
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_breeder_1/CALTEC-001-HC_B6_breeder_1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_breeder_1/CALTEC-001-HC_B6_breeder_1_R2.fastq.gz;	194ae8e0-258b-4d35-93b3-ebb398bc8858
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_breeder_2/CALTEC-001-HC_B6_breeder_2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_breeder_2/CALTEC-001-HC_B6_breeder_2_R2.fastq.gz;	fdbcf500-5b47-47c0-b11d-73028991c72f
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_breeder_1/CALTEC-001-HC_P1_breeder_1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_breeder_1/CALTEC-001-HC_P1_breeder_1_R2.fastq.gz;	6ffbb092-f3fd-4da6-bfbc-bc7a77d050f9
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_breeder_2/CALTEC-001-HC_P1_breeder_2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_breeder_2/CALTEC-001-HC_P1_breeder_2_R2.fastq.gz;	8397e103-eca4-43d7-92a3-a264f906febd
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_breeder_1/CALTEC-001-SPF_B6_breeder_1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_breeder_1/CALTEC-001-SPF_B6_breeder_1_R2.fastq.gz;	ffd1a163-9708-4295-8aeb-0e46a0550164
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_breeder_2/CALTEC-001-SPF_B6_breeder_2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_breeder_2/CALTEC-001-SPF_B6_breeder_2_R2.fastq.gz;	34ef17f0-ab0b-4aac-be20-33a2c7666078
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_breeder_1/CALTEC-001-SPF_P1_breeder_1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_breeder_1/CALTEC-001-SPF_P1_breeder_1_R2.fastq.gz;	d6e6ddb9-d12c-4ffd-980e-f7256c317dd9
								/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_breeder_2/CALTEC-001-SPF_P1_breeder_2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_breeder_2/CALTEC-001-SPF_P1_breeder_2_R2.fastq.gz;	09c6751a-becc-4500-989c-1706f55a620b
