Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,litter_id,mouse_id,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,total_sequences
SRR28674699,6,WGS,302,241026200,PRJNA1099939,SAMN40961796,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",109875823,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-12-16,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243010,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG027AM2_6MTH_12162019,PAIRED,RANDOM,METAGENOMIC,hSCATG027,hSCATG027AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG027AM2_6MTH_12162019,SRP501636,915014
SRR28674700,3,WGS,302,363976138,PRJNA1099939,SAMN40961795,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",160336824,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-09-16,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243009,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG027AM2_3MTH_09162019,PAIRED,RANDOM,METAGENOMIC,hSCATG027,hSCATG027AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG027AM2_3MTH_09162019,SRP501636,1285457
SRR28674703,6,WGS,302,399206250,PRJNA1099939,SAMN40961792,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",177867466,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-12-16,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243006,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM5_6MTH_12162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG026AM5_6MTH_12162019,SRP501636,1490063
SRR28674704,3,WGS,302,741686330,PRJNA1099939,SAMN40961791,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",312950214,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-09-16,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243005,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM5_3MTH_09162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM5_3MTH_09162019,SRP501636,3015472
SRR28674705,6,WGS,302,311760338,PRJNA1099939,SAMN40961728,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",141887797,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-12-03,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243004,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG018AM1_6MTH_12032019,PAIRED,RANDOM,METAGENOMIC,hSCATG018,hSCATG018AM1,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG018AM1_6MTH_12032019,SRP501636,1244853
SRR28674709,3,WGS,302,478633760,PRJNA1099939,SAMN40961787,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",206841618,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-09-16,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243000,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM4_3MTH_09162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM4,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM4_3MTH_09162019,SRP501636,1790984
SRR28674710,1,WGS,302,269175922,PRJNA1099939,SAMN40961786,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",120605133,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-07-15,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242999,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM4_1MTH_07152019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM4,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM4_1MTH_07152019,SRP501636,995924
SRR28674711,12,WGS,302,357212244,PRJNA1099939,SAMN40961785,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",161134872,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-06-14,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242998,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM4_12MTH_06142020,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM4,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM4_12MTH_06142020,SRP501636,1399009
SRR28674712,6,WGS,302,167146732,PRJNA1099939,SAMN40961784,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",86632785,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-12-16,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242997,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG026AM3_6MTH_12162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM3,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM3_6MTH_12162019,SRP501636,387537
SRR28674713,3,WGS,302,495664144,PRJNA1099939,SAMN40961783,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",222941237,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-09-16,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242996,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG026AM3_3MTH_09162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM3,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG026AM3_3MTH_09162019,SRP501636,1949598
